t,f
5.95,49.30260525
5.96,49.30314021
5.97,49.30365577
5.98,49.30415202
5.99,49.30462904
6,49.30508691
6.01,49.30552573
6.02,49.30594559
6.03,49.30634657
6.04,49.30672877
6.05,49.30709228
6.06,49.3074372
6.07,49.30776362
6.08,49.30807164
6.09,49.30836136
6.1,49.30863289
6.11,49.30888632
6.12,49.30912175
6.13,49.3093393
6.14,49.30953907
6.15,49.30972116
6.16,49.30988568
6.17,49.31003275
6.18,49.31016247
6.19,49.31027496
6.2,49.31037032
6.21,49.31044868
6.22,49.31051015
6.23,49.31055484
6.24,49.31058288
6.25,49.31059437
6.26,49.31058945
6.27,49.31056823
6.28,49.31053082
6.29,49.31047737
6.3,49.31040798
6.31,49.31032278
6.32,49.3102219
6.33,49.31010547
6.34,49.3099736
6.35,49.30982643
6.36,49.30966409
6.37,49.30948671
6.38,49.3092944
6.39,49.30908732
6.4,49.30886558
6.41,49.30862933
6.42,49.30837868
6.43,49.30811378
6.44,49.30783477
6.45,49.30754176
6.46,49.30723491
6.47,49.30691435
6.48,49.30658021
6.49,49.30623262
6.5,49.30587174
6.51,49.30549769
6.52,49.30511062
6.53,49.30471066
6.54,49.30429795
6.55,49.30387264
6.56,49.30343486
6.57,49.30298475
6.58,49.30252246
6.59,49.30204813
6.6,49.30156189
6.61,49.3010639
6.62,49.30055429
6.63,49.3000332
6.64,49.29950078
6.65,49.29895718
6.66,49.29840253
6.67,49.29783698
6.68,49.29726067
6.69,49.29667374
6.7,49.29607635
6.71,49.29546864
6.72,49.29485074
6.73,49.29422281
6.74,49.29358498
6.75,49.29293741
6.76,49.29228024
6.77,49.29161361
6.78,49.29093766
6.79,49.29025255
6.8,49.28955841
6.81,49.2888554
6.82,49.28814365
6.83,49.28742332
6.84,49.28669453
6.85,49.28595745
6.86,49.28521221
6.87,49.28445896
6.88,49.28369784
6.89,49.282929
6.9,49.28215258
6.91,49.28136872
6.92,49.28057756
6.93,49.27977926
6.94,49.27897394
6.95,49.27816176
6.96,49.27734286
6.97,49.27651738
6.98,49.27568546
6.99,49.27484724
7,49.27400286
7.01,49.27315247
7.02,49.27229621
7.03,49.2714342
7.04,49.27056661
7.05,49.26969355
7.06,49.26881518
7.07,49.26793163
7.08,49.26704304
7.09,49.26614955
7.1,49.26525129
7.11,49.2643484
7.12,49.26344102
7.13,49.26252928
7.14,49.26161333
7.15,49.26069328
7.16,49.25976928
7.17,49.25884147
7.18,49.25790996
7.19,49.25697491
7.2,49.25603643
7.21,49.25509467
7.22,49.25414974
7.23,49.25320179
7.24,49.25225094
7.25,49.25129732
7.26,49.25034106
7.27,49.24938229
7.28,49.24842113
7.29,49.24745771
7.3,49.24649216
7.31,49.24552459
7.32,49.24455515
7.33,49.24358395
7.34,49.2426111
7.35,49.24163675
7.36,49.240661
7.37,49.23968398
7.38,49.23870581
7.39,49.2377266
7.4,49.23674648
7.41,49.23576557
7.42,49.23478397
7.43,49.23380182
7.44,49.23281922
7.45,49.23183628
7.46,49.23085313
7.47,49.22986987
7.48,49.22888662
7.49,49.22790349
7.5,49.22692059
7.51,49.22593803
7.52,49.22495592
7.53,49.22397437
7.54,49.22299348
7.55,49.22201336
7.56,49.22103412
7.57,49.22005585
7.58,49.21907868
7.59,49.21810269
7.6,49.21712799
7.61,49.21615468
7.62,49.21518287
7.63,49.21421264
7.64,49.21324411
7.65,49.21227736
7.66,49.21131249
7.67,49.21034961
7.68,49.2093888
7.69,49.20843016
7.7,49.20747378
7.71,49.20651975
7.72,49.20556816
7.73,49.20461912
7.74,49.20367269
7.75,49.20272898
7.76,49.20178806
7.77,49.20085004
7.78,49.19991498
7.79,49.19898298
7.8,49.19805412
7.81,49.19712847
7.82,49.19620614
7.83,49.19528718
7.84,49.19437169
7.85,49.19345974
7.86,49.19255141
7.87,49.19164678
7.88,49.19074591
7.89,49.1898489
7.9,49.1889558
7.91,49.1880667
7.92,49.18718166
7.93,49.18630076
7.94,49.18542406
7.95,49.18455163
7.96,49.18368355
7.97,49.18281988
7.98,49.18196068
7.99,49.18110602
8,49.18025596
8.01,49.17941057
8.02,49.17856991
8.03,49.17773403
8.04,49.17690301
8.05,49.17607689
8.06,49.17525574
8.07,49.17443961
8.08,49.17362855
8.09,49.17282263
8.1,49.1720219
8.11,49.17122641
8.12,49.17043621
8.13,49.16965136
8.14,49.1688719
8.15,49.16809788
8.16,49.16732935
8.17,49.16656636
8.18,49.16580895
8.19,49.16505717
8.2,49.16431106
8.21,49.16357068
8.22,49.16283605
8.23,49.16210722
8.24,49.16138423
8.25,49.16066712
8.26,49.15995593
8.27,49.15925069
8.28,49.15855145
8.29,49.15785823
8.3,49.15717108
8.31,49.15649002
8.32,49.1558151
8.33,49.15514633
8.34,49.15448376
8.35,49.15382741
8.36,49.1531773
8.37,49.15253348
8.38,49.15189597
8.39,49.15126478
8.4,49.15063996
8.41,49.15002151
8.42,49.14940948
8.43,49.14880387
8.44,49.14820471
8.45,49.14761202
8.46,49.14702583
8.47,49.14644614
8.48,49.14587299
8.49,49.14530638
8.5,49.14474633
8.51,49.14419286
8.52,49.14364598
8.53,49.14310571
8.54,49.14257206
8.55,49.14204505
8.56,49.14152467
8.57,49.14101095
8.58,49.1405039
8.59,49.14000352
8.6,49.13950981
8.61,49.1390228
8.62,49.13854248
8.63,49.13806886
8.64,49.13760195
8.65,49.13714174
8.66,49.13668825
8.67,49.13624147
8.68,49.1358014
8.69,49.13536806
8.7,49.13494143
8.71,49.13452152
8.72,49.13410832
8.73,49.13370184
8.74,49.13330207
8.75,49.132909
8.76,49.13252264
8.77,49.13214297
8.78,49.13177
8.79,49.1314037
8.8,49.13104409
8.81,49.13069115
8.82,49.13034486
8.83,49.13000523
8.84,49.12967224
8.85,49.12934589
8.86,49.12902615
8.87,49.12871301
8.88,49.12840648
8.89,49.12810652
8.9,49.12781313
8.91,49.1275263
8.92,49.127246
8.93,49.12697222
8.94,49.12670495
8.95,49.12644416
8.96,49.12618985
8.97,49.12594198
8.98,49.12570055
8.99,49.12546554
9,49.12523691
9.01,49.12501466
9.02,49.12479875
9.03,49.12458918
9.04,49.12438591
9.05,49.12418893
9.06,49.1239982
9.07,49.12381372
9.08,49.12363544
9.09,49.12346335
9.1,49.12329742
9.11,49.12313762
9.12,49.12298393
9.13,49.12283632
9.14,49.12269477
9.15,49.12255924
9.16,49.1224297
9.17,49.12230614
9.18,49.12218851
9.19,49.12207678
9.2,49.12197094
9.21,49.12187094
9.22,49.12177675
9.23,49.12168835
9.24,49.1216057
9.25,49.12152876
9.26,49.12145751
9.27,49.12139192
9.28,49.12133194
9.29,49.12127754
9.3,49.12122869
9.31,49.12118536
9.32,49.12114751
9.33,49.12111509
9.34,49.12108809
9.35,49.12106645
9.36,49.12105015
9.37,49.12103915
9.38,49.1210334
9.39,49.12103288
9.4,49.12103754
9.41,49.12104734
9.42,49.12106225
9.43,49.12108223
9.44,49.12110724
9.45,49.12113723
9.46,49.12117217
9.47,49.12121202
9.48,49.12125674
9.49,49.12130629
9.5,49.12136062
9.51,49.1214197
9.52,49.12148348
9.53,49.12155193
9.54,49.12162499
9.55,49.12170264
9.56,49.12178482
9.57,49.12187149
9.58,49.12196262
9.59,49.12205815
9.6,49.12215805
9.61,49.12226227
9.62,49.12237077
9.63,49.12248351
9.64,49.12260043
9.65,49.12272151
9.66,49.12284668
9.67,49.12297592
9.68,49.12310917
9.69,49.1232464
9.7,49.12338754
9.71,49.12353257
9.72,49.12368144
9.73,49.1238341
9.74,49.1239905
9.75,49.12415061
9.76,49.12431437
9.77,49.12448174
9.78,49.12465268
9.79,49.12482714
9.8,49.12500507
9.81,49.12518644
9.82,49.12537118
9.83,49.12555927
9.84,49.12575064
9.85,49.12594526
9.86,49.12614309
9.87,49.12634406
9.88,49.12654815
9.89,49.1267553
9.9,49.12696546
9.91,49.1271786
9.92,49.12739466
9.93,49.1276136
9.94,49.12783538
9.95,49.12805994
9.96,49.12828724
9.97,49.12851724
9.98,49.1287499
9.99,49.12898515
10,49.12922296
10.01,49.12946329
10.02,49.12970608
10.03,49.1299513
10.04,49.13019889
10.05,49.13044881
10.06,49.13070102
10.07,49.13095547
10.08,49.13121211
10.09,49.13147091
10.1,49.1317318
10.11,49.13199476
10.12,49.13225973
10.13,49.13252667
10.14,49.13279554
10.15,49.13306629
10.16,49.13333887
10.17,49.13361325
10.18,49.13388937
10.19,49.1341672
10.2,49.13444669
10.21,49.13472779
10.22,49.13501046
10.23,49.13529467
10.24,49.13558036
10.25,49.13586748
10.26,49.13615601
10.27,49.1364459
10.28,49.13673709
10.29,49.13702956
10.3,49.13732326
10.31,49.13761814
10.32,49.13791416
10.33,49.13821129
10.34,49.13850947
10.35,49.13880868
10.36,49.13910885
10.37,49.13940997
10.38,49.13971198
10.39,49.14001484
10.4,49.14031852
10.41,49.14062297
10.42,49.14092815
10.43,49.14123402
10.44,49.14154055
10.45,49.14184769
10.46,49.1421554
10.47,49.14246365
10.48,49.14277239
10.49,49.1430816
10.5,49.14339121
10.51,49.14370121
10.52,49.14401156
10.53,49.1443222
10.54,49.14463312
10.55,49.14494426
10.56,49.1452556
10.57,49.1455671
10.58,49.14587871
10.59,49.14619041
10.6,49.14650215
10.61,49.14681391
10.62,49.14712564
10.63,49.14743732
10.64,49.1477489
10.65,49.14806035
10.66,49.14837164
10.67,49.14868273
10.68,49.14899359
10.69,49.14930419
10.7,49.14961449
10.71,49.14992446
10.72,49.15023406
10.73,49.15054327
10.74,49.15085205
10.75,49.15116037
10.76,49.1514682
10.77,49.1517755
10.78,49.15208225
10.79,49.15238842
10.8,49.15269397
10.81,49.15299887
10.82,49.1533031
10.83,49.15360663
10.84,49.15390942
10.85,49.15421144
10.86,49.15451268
10.87,49.15481309
10.88,49.15511266
10.89,49.15541134
10.9,49.15570913
10.91,49.15600598
10.92,49.15630188
10.93,49.15659679
10.94,49.15689068
10.95,49.15718355
10.96,49.15747535
10.97,49.15776606
10.98,49.15805566
10.99,49.15834412
11,49.15863142
11.01,49.15891753
11.02,49.15920243
11.03,49.1594861
11.04,49.15976851
11.05,49.16004965
11.06,49.16032948
11.07,49.16060798
11.08,49.16088514
11.09,49.16116094
11.1,49.16143534
11.11,49.16170833
11.12,49.16197989
11.13,49.16225
11.14,49.16251864
11.15,49.16278578
11.16,49.16305142
11.17,49.16331553
11.18,49.16357809
11.19,49.16383908
11.2,49.16409848
11.21,49.16435629
11.22,49.16461247
11.23,49.16486701
11.24,49.1651199
11.25,49.16537112
11.26,49.16562065
11.27,49.16586848
11.28,49.16611458
11.29,49.16635896
11.3,49.16660158
11.31,49.16684244
11.32,49.16708152
11.33,49.1673188
11.34,49.16755428
11.35,49.16778794
11.36,49.16801976
11.37,49.16824974
11.38,49.16847786
11.39,49.16870411
11.4,49.16892847
11.41,49.16915094
11.42,49.1693715
11.43,49.16959014
11.44,49.16980686
11.45,49.17002163
11.46,49.17023446
11.47,49.17044532
11.48,49.17065422
11.49,49.17086114
11.5,49.17106607
11.51,49.17126901
11.52,49.17146994
11.53,49.17166886
11.54,49.17186576
11.55,49.17206063
11.56,49.17225346
11.57,49.17244426
11.58,49.172633
11.59,49.17281969
11.6,49.17300431
11.61,49.17318687
11.62,49.17336735
11.63,49.17354576
11.64,49.17372208
11.65,49.17389632
11.66,49.17406846
11.67,49.1742385
11.68,49.17440644
11.69,49.17457228
11.7,49.17473601
11.71,49.17489762
11.72,49.17505713
11.73,49.17521451
11.74,49.17536978
11.75,49.17552292
11.76,49.17567394
11.77,49.17582284
11.78,49.1759696
11.79,49.17611424
11.8,49.17625676
11.81,49.17639714
11.82,49.17653539
11.83,49.17667151
11.84,49.17680551
11.85,49.17693737
11.86,49.1770671
11.87,49.17719471
11.88,49.17732019
11.89,49.17744355
11.9,49.17756478
11.91,49.17768388
11.92,49.17780087
11.93,49.17791574
11.94,49.17802849
11.95,49.17813914
11.96,49.17824767
11.97,49.17835409
11.98,49.17845841
11.99,49.17856063
12,49.17866075
12.01,49.17875878
12.02,49.17885472
12.03,49.17894858
12.04,49.17904036
12.05,49.17913006
12.06,49.1792177
12.07,49.17930327
12.08,49.17938678
12.09,49.17946823
12.1,49.17954764
12.11,49.17962501
12.12,49.17970034
12.13,49.17977364
12.14,49.17984492
12.15,49.17991418
12.16,49.17998143
12.17,49.18004668
12.18,49.18010994
12.19,49.18017121
12.2,49.18023049
12.21,49.18028781
12.22,49.18034316
12.23,49.18039655
12.24,49.180448
12.25,49.1804975
12.26,49.18054508
12.27,49.18059073
12.28,49.18063446
12.29,49.1806763
12.3,49.18071623
12.31,49.18075428
12.32,49.18079046
12.33,49.18082477
12.34,49.18085721
12.35,49.18088782
12.36,49.18091658
12.37,49.18094352
12.38,49.18096864
12.39,49.18099195
12.4,49.18101346
12.41,49.1810332
12.42,49.18105115
12.43,49.18106734
12.44,49.18108178
12.45,49.18109448
12.46,49.18110545
12.47,49.1811147
12.48,49.18112224
12.49,49.18112809
12.5,49.18113225
12.51,49.18113474
12.52,49.18113557
12.53,49.18113475
12.54,49.18113229
12.55,49.18112821
12.56,49.18112252
12.57,49.18111523
12.58,49.18110636
12.59,49.18109591
12.6,49.18108389
12.61,49.18107033
12.62,49.18105524
12.63,49.18103862
12.64,49.18102049
12.65,49.18100086
12.66,49.18097975
12.67,49.18095717
12.68,49.18093314
12.69,49.18090765
12.7,49.18088074
12.71,49.18085242
12.72,49.18082269
12.73,49.18079157
12.74,49.18075907
12.75,49.18072521
12.76,49.18069
12.77,49.18065346
12.78,49.1806156
12.79,49.18057643
12.8,49.18053597
12.81,49.18049423
12.82,49.18045123
12.83,49.18040697
